Day,Volume,,,,,
1/4/2021,1503,,,,,
1/5/2021,2748,,,,,
1/6/2021,942,,,,,
1/7/2021,901,,,,,
1/8/2021,722,,,,,
1/9/2021,165,,,,,
1/10/2021,269,,,,,
1/11/2021,525,,,,,
1/12/2021,143,,,,,
1/13/2021,599,,,,,
1/14/2021,385,,,,,
1/15/2021,286,,,,,
1/16/2021,135,,,,,
1/17/2021,442,,,,,
1/18/2021,878,,,,,
1/19/2021,474,,,,,
1/20/2021,187,,,,,
1/21/2021,245,,,,,
1/22/2021,284,,,,,
1/23/2021,230,,,,,
1/24/2021,77,,,,,
1/25/2021,516,,,,,
1/26/2021,309,,,,,
1/27/2021,123,,,,,
1/28/2021,111,,,,,
1/29/2021,64,,,,,
1/30/2021,17,,,,,
1/31/2021,139,,,,,
2/1/2021,150,,,,,
2/2/2021,391,,,,,
2/3/2021,216,,,,,
2/4/2021,548,,,,,
2/5/2021,1200,,,,,
2/6/2021,326,,,,,
2/7/2021,139,,,,,
2/8/2021,726,,,,,
2/9/2021,119,,,,,
2/10/2021,148,,,,,
2/11/2021,487,,,,,
2/12/2021,613,,,,,
2/13/2021,238,,,,,
2/14/2021,309,,,,,
2/15/2021,134,,,,,
2/16/2021,34,,,,,
2/17/2021,363,,,,,
2/18/2021,172,,,,,
2/19/2021,181,,,,,
2/20/2021,29,,,,,
2/21/2021,45,,,,,
2/22/2021,54,,,,,
2/23/2021,137,,,,,
2/24/2021,146,,,,,
2/25/2021,315,,,,,
2/26/2021,530,,,,,
2/27/2021,142,,,,,
2/28/2021,260,,,,,
3/1/2021,428,,,,,
3/2/2021,141,,,,,
3/3/2021,150,,,,,
3/4/2021,219,,,,,
3/5/2021,609,,,,,
3/6/2021,157,,,,,
3/7/2021,31,,,,,
3/8/2021,36,,,,,
3/9/2021,210,,,,,
3/10/2021,634,,,,,
3/11/2021,276,,,,,
3/12/2021,171,,,,,
3/13/2021,254,,,,,
3/14/2021,427,,,,,
3/15/2021,351,,,,,
3/16/2021,240,,,,,
3/17/2021,215,,,,,
3/18/2021,326,,,,,
3/19/2021,156,,,,,
3/20/2021,74,,,,,
3/21/2021,56,,,,,
3/22/2021,685,,,,,
3/23/2021,181,,,,,
3/24/2021,256,,,,,
3/25/2021,275,,,,,
3/26/2021,689,,,,,
3/27/2021,105,,,,,
3/28/2021,150,,,,,
3/29/2021,47,,,,,
3/30/2021,749,,,,,
3/31/2021,162,,,,,
4/1/2021,170,,,,,
4/2/2021,541,,,,,
4/3/2021,252,,,,,
4/4/2021,148,,,,,
4/5/2021,408,,,,,
4/6/2021,929,,,,,
4/7/2021,452,,,,,
4/8/2021,368,,,,,
4/9/2021,98,,,,,
4/10/2021,160,,,,,
4/11/2021,554,,,,,
4/12/2021,192,,,,,
4/13/2021,332,,,,,
4/14/2021,1853,,,,,
4/15/2021,299,,,,,
4/16/2021,265,,,,,
4/17/2021,136,,,,,
4/18/2021,77,,,,,
